_id,DATA,hora,natureza_acidente,situacao,bairro,endereco,numero,detalhe_endereco_acidente,complemento,endereco_cruzamento,numero_cruzamento,referencia_cruzamento,bairro_cruzamento,num_semaforo,sentido_via,tipo,descricao,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1,divisao_via2,divisao_via3
7873,2019-09-11T00:00:00,09:42:00,SEM VÍTIMA,FINALIZADA,SANTO AMARO,AV PREFEITO ARTUR LIMA CAVALCANTI,"","",PRÓXIMO AO SEMÁFORO 243,AV PREFEITO ARTUR LIMA CAVALCANTI,"",PRÓXIMO AO SEMÁFORO 243,SANTO AMARO,,"",COLISÃO TRASEIRA,COLISÃO SEM VITIMAS,2,,,,,,,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Agente,Não há placas,"",Dupla,Canteiro central,"",""
7874,2019-09-11T00:00:00,10:18:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA JACK AYRES,73,RUA FRANCISCO DA CUNHA,EM FRENTE AO EDIFICIO SALAMANCA,RUA JACK AYRES,73,EM FRENTE AO EDIFICIO SALAMANCA,BOA VIAGEM,,"",COLISÃO,COLISÃO COM VITIMA A ESPERA DO SAMU,2,,,,,,,,,1,,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Placas Pare,30 km/h,Única,Não existe,"",""
7875,2019-09-11T00:00:00,10:31:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,3452,"","",AV ENGENHEIRO DOMINGOS FERREIRA,3452,"",BOA VIAGEM,,SUBURBIO,ABALROAMENTO LONGITUDINAL,COLISÃO S/VITIMAS ENTRE DOIS AUTOS,2,,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Outros,Outras,60 km/h,Única,Faixa seccionada,"",""
7876,2019-09-11T00:00:00,11:01:00,COM VÍTIMA,FINALIZADA,PRADO,AV ENGENHEIRO ABDIAS DE CARVALHO,1055,RUA JOAO IVO DA SILVA,APOS A ENGENFRIO EM FRENTE AO POSTO DE GASOLINA BR,AV ENGENHEIRO ABDIAS DE CARVALHO,1055,APOS A ENGENFRIO EM FRENTE AO POSTO DE GASOLINA BR,PRADO,132,CIDADE,COLISÃO COM CICLISTA,VITIMA ESPERA DO SAMU,,,,1,,1,,,,1,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,60 km/h,Dupla,Canteiro central,"",""
7877,2019-09-11T00:00:00,11:11:00,SEM VÍTIMA,FINALIZADA,AFOGADOS,RUA QUITERIO INACIO DE MELLO,234,"",EM FRENTE A AUTOCENTER AFOGADOS,RUA QUITERIO INACIO DE MELLO,234,EM FRENTE A AUTOCENTER AFOGADOS,AFOGADOS,,SUBURBIO,COLISÃO TRASEIRA,COLISÃO S/VITIMA ENTRE DOIS AUTOS,2,,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,"",Única,Faixa seccionada,"",""
7878,2019-09-11T00:00:00,11:12:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,2600,"",EM FRENTE A FARMACIA INDEPENDENTE,AV ENGENHEIRO DOMINGOS FERREIRA,2600,EM FRENTE A FARMACIA INDEPENDENTE,BOA VIAGEM,,SUBURBIO,COLISÃO TRASEIRA,COLISÃO SEM VITIMAS OBS OS VEICULOS RETIRADOS DA VIA E REMOVIDOS PARA AREA DO POSTO DE GASOLINA,2,,,,,,,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,60 km/h,Única,Canteiro central,"",""
7879,2019-09-11T00:00:00,11:20:00,SEM VÍTIMA,FINALIZADA,ROSARINHO,RUA GENERAL ABREU E LIMA,144,"",EM FRENTE AO EDF. MIRANTE,RUA GENERAL ABREU E LIMA,144,EM FRENTE AO EDF. MIRANTE,ROSARINHO,,"",ABALROAMENTO LONGITUDINAL,COLISÃO S/VITIMA ENTRE DOIS AUTOS,2,,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,R-6a,40 km/h,Dupla,Não existe,"",""
7880,2019-09-11T00:00:00,11:24:00,SEM VÍTIMA,FINALIZADA,BOA VISTA,AV CONDE DA BOA VISTA,1427,"",ODONTOCLINIC,AV CONDE DA BOA VISTA,1427,ODONTOCLINIC,BOA VISTA,,CIDADE,COLISÃO TRASEIRA,COLISÃO S/VITIMA ENTRE DOIS AUTOS,2,,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,"",Dupla,Canteiro central,"",""
7881,2019-09-11T00:00:00,12:26:00,SEM VÍTIMA,CANCELADA,COELHOS,RUA DR JOSE MARIANO,807,"",ESQUINA DA LOJA BATALHA MAQUINAS,RUA DR JOSE MARIANO,807,ESQUINA DA LOJA BATALHA MAQUINAS,COELHOS,,"",COLISÃO,COLISAO ENTRE DOIS AUTOS S/V,2,,,,,,,,,0,,"","","","","","","","","","","","",""
7882,2019-09-11T00:00:00,12:32:00,SEM VÍTIMA,FINALIZADA,AFOGADOS,AV SUL,"","",AO LADO DO TERMINAL INTEGRADO LARGO DA PAZ,AV SUL,"",AO LADO DO TERMINAL INTEGRADO LARGO DA PAZ,AFOGADOS,,CIDADE,ABALROAMENTO LONGITUDINAL,COLISÃO SEM VÍTIMA,3,,,,,1,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Outros,Outras,"",Única,Faixa seccionada,"",""
7883,2019-09-11T00:00:00,"",SEM VÍTIMA,FINALIZADA,CASA FORTE,AV DEZESSETE DE AGOSTO,1248,RUA JACO VELOSINO,EM FRENTE A WIZARD BY PEARSON - CURSO DE IDIOMAS,AV DEZESSETE DE AGOSTO,1248,EM FRENTE A WIZARD BY PEARSON - CURSO DE IDIOMAS,CASA FORTE,,SUBURBIO,COLISÃO TRASEIRA,COLISÃO SEM VÍTIMA,3,,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,R-6a,"",Dupla,Faixa contínua,"",""
7884,2019-09-11T00:00:00,13:02:00,SEM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,"","",UPA DA IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,"",UPA DA IMBIRIBEIRA,IMBIRIBEIRA,310,CIDADE,COLISÃO TRASEIRA,COLISÃO SEM VÍTIMA,1,,,,,1,,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,"","","",Dupla,Faixa seccionada,Canteiro central,""
7885,2019-09-11T00:00:00,13:14:00,SEM VÍTIMA,FINALIZADA,"",AV GOVERNADOR AGAMENON MAGALHAES,"","",EM FRENTE AO HOSPITAL PORTUGUES/ SENTIDO BOA VIAGEM,AV GOVERNADOR AGAMENON MAGALHAES,"",EM FRENTE AO HOSPITAL PORTUGUES/ SENTIDO BOA VIAGEM,"",,"",COLISÃO,COLISÃO SEM VÍTIMA,3,,,,,,,,,0,,"","","","","","","","","","","","",""
